client,insured_name,contact_email,field_name,field_value,sync_date,sync_timestamp
A G Equipment Company,Twin Disc Inc.,twindiscinc-1@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Twin Disc Inc.,twindiscinc-1@internalemail.com,Expiration,2027-05-01,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Twin Disc Inc.,twindiscinc-1@internalemail.com,Verification Status,COMPLETE,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Twin Disc Inc.,twindiscinc-1@internalemail.com,Latest Submission Date,2026-05-07T11:49:04,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Twin Disc Inc.,twindiscinc-1@internalemail.com,entityId,TWIN-ROGE,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Twin Disc Inc.,twindiscinc-1@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Twin Disc Inc.,twindiscinc-1@internalemail.com,notificationList,"[""Chicago.CertRequest@marsh.com""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Twin Disc Inc.,twindiscinc-1@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,White Cap Supply Holders,whitecapsupplyholders@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,White Cap Supply Holders,whitecapsupplyholders@internalemail.com,Expiration,2026-10-31,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,White Cap Supply Holders,whitecapsupplyholders@internalemail.com,Verification Status,COMPLETE,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,White Cap Supply Holders,whitecapsupplyholders@internalemail.com,Latest Submission Date,2026-05-07T11:51:34,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,White Cap Supply Holders,whitecapsupplyholders@internalemail.com,email,RiskMGT@whitecap.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,White Cap Supply Holders,whitecapsupplyholders@internalemail.com,entityId,CRIM-TULS2,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,White Cap Supply Holders,whitecapsupplyholders@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,White Cap Supply Holders,whitecapsupplyholders@internalemail.com,notificationList,"[""RiskMGT@whitecap.com""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,White Cap Supply Holders,whitecapsupplyholders@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Innomotics LLC,innomoticsllc@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Innomotics LLC,innomoticsllc@internalemail.com,Expiration,2026-10-01,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Innomotics LLC,innomoticsllc@internalemail.com,Verification Status,COMPLETE,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Innomotics LLC,innomoticsllc@internalemail.com,Latest Submission Date,2026-05-20T16:09:52,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Innomotics LLC,innomoticsllc@internalemail.com,email,BECKY.ESKEW@INNOMOTICES.COM,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Innomotics LLC,innomoticsllc@internalemail.com,entityId,INNO-MENT,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Innomotics LLC,innomoticsllc@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Innomotics LLC,innomoticsllc@internalemail.com,notificationList,"[""BECKY.ESKEW@INNOMOTICES.COM"",""weiss.us@innomotics.com""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Innomotics LLC,innomoticsllc@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,LINCOLN ELECTRIC COMPANY,lincolnelectriccompany@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,LINCOLN ELECTRIC COMPANY,lincolnelectriccompany@internalemail.com,Expiration,2026-08-01,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,LINCOLN ELECTRIC COMPANY,lincolnelectriccompany@internalemail.com,Verification Status,COMPLETE,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,LINCOLN ELECTRIC COMPANY,lincolnelectriccompany@internalemail.com,Latest Submission Date,2025-09-25T16:18:20,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,LINCOLN ELECTRIC COMPANY,lincolnelectriccompany@internalemail.com,email,ca10remittances@lincolnelectric.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,LINCOLN ELECTRIC COMPANY,lincolnelectriccompany@internalemail.com,entityId,LINC-BROK,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,LINCOLN ELECTRIC COMPANY,lincolnelectriccompany@internalemail.com,entityType,Deactivated,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,LINCOLN ELECTRIC COMPANY,lincolnelectriccompany@internalemail.com,notificationList,"[""ca10remittances@lincolnelectric.com""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,LINCOLN ELECTRIC COMPANY,lincolnelectriccompany@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,First Distributors LLC,firstdistributorsllc@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,First Distributors LLC,firstdistributorsllc@internalemail.com,Expiration,2026-07-16,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,First Distributors LLC,firstdistributorsllc@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,First Distributors LLC,firstdistributorsllc@internalemail.com,Latest Submission Date,2026-03-18T15:13:57,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,First Distributors LLC,firstdistributorsllc@internalemail.com,email,ACCOUNTING@FIRSTDISTRIBUTORS.COM,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,First Distributors LLC,firstdistributorsllc@internalemail.com,entityId,FIRS-HOUS,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,First Distributors LLC,firstdistributorsllc@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,First Distributors LLC,firstdistributorsllc@internalemail.com,notificationList,"[""ACCOUNTING@FIRSTDISTRIBUTORS.COM""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,First Distributors LLC,firstdistributorsllc@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,JOS GROUP LLC,josgroupllc@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,JOS GROUP LLC,josgroupllc@internalemail.com,Expiration,2027-04-01,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,JOS GROUP LLC,josgroupllc@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,JOS GROUP LLC,josgroupllc@internalemail.com,Latest Submission Date,2026-04-20T13:07:16,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,JOS GROUP LLC,josgroupllc@internalemail.com,email,certificates@reliancepartners.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,JOS GROUP LLC,josgroupllc@internalemail.com,entityId,JOS-LISL,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,JOS GROUP LLC,josgroupllc@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,JOS GROUP LLC,josgroupllc@internalemail.com,notificationList,"[""certificates@reliancepartners.com""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,JOS GROUP LLC,josgroupllc@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,ZEVAC,zevac@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,ZEVAC,zevac@internalemail.com,Expiration,2027-02-15,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,ZEVAC,zevac@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,ZEVAC,zevac@internalemail.com,Latest Submission Date,2026-02-24T21:28:44,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,ZEVAC,zevac@internalemail.com,email,AR@GETZEVAC.COM,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,ZEVAC,zevac@internalemail.com,entityId,ZEVA-TULS,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,ZEVAC,zevac@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,ZEVAC,zevac@internalemail.com,notificationList,"[""AR@GETZEVAC.COM"",""SALE@GETZEVAC.COM""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,ZEVAC,zevac@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,3D Supply Headquarters LLC,3dsupplyheadquartersllc2@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,3D Supply Headquarters LLC,3dsupplyheadquartersllc2@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,3D Supply Headquarters LLC,3dsupplyheadquartersllc2@internalemail.com,email,ACCOUNTING@3DSHQ.COM,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,3D Supply Headquarters LLC,3dsupplyheadquartersllc2@internalemail.com,entityId,3D S-ST C,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,3D Supply Headquarters LLC,3dsupplyheadquartersllc2@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,3D Supply Headquarters LLC,3dsupplyheadquartersllc2@internalemail.com,notificationList,"[""ACCOUNTING@3DSHQ.COM"",""AKRAMER@3DSHQ.COM""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,3D Supply Headquarters LLC,3dsupplyheadquartersllc2@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"Jordan Carriers, Inc.",jordancarriersinc@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"Jordan Carriers, Inc.",jordancarriersinc@internalemail.com,Expiration,2026-09-01,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"Jordan Carriers, Inc.",jordancarriersinc@internalemail.com,Verification Status,COMPLETE,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"Jordan Carriers, Inc.",jordancarriersinc@internalemail.com,Latest Submission Date,2026-04-20T13:07:44,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"Jordan Carriers, Inc.",jordancarriersinc@internalemail.com,email,kay_daniels@ajg.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"Jordan Carriers, Inc.",jordancarriersinc@internalemail.com,entityId,JORD-NATC,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"Jordan Carriers, Inc.",jordancarriersinc@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"Jordan Carriers, Inc.",jordancarriersinc@internalemail.com,notificationList,"[""kay_daniels@ajg.com""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"Jordan Carriers, Inc.",jordancarriersinc@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"On Call Services & Rentals, LLC",oncallservicesrentalsllc@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"On Call Services & Rentals, LLC",oncallservicesrentalsllc@internalemail.com,Expiration,2026-12-01,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"On Call Services & Rentals, LLC",oncallservicesrentalsllc@internalemail.com,Verification Status,COMPLETE,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"On Call Services & Rentals, LLC",oncallservicesrentalsllc@internalemail.com,Latest Submission Date,2026-04-20T13:08:46,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"On Call Services & Rentals, LLC",oncallservicesrentalsllc@internalemail.com,email,ACCOUNTING@ONCALLSERVICESANDRENTALS.COM,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"On Call Services & Rentals, LLC",oncallservicesrentalsllc@internalemail.com,entityId,ON C-TULS,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"On Call Services & Rentals, LLC",oncallservicesrentalsllc@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"On Call Services & Rentals, LLC",oncallservicesrentalsllc@internalemail.com,notificationList,"[""ACCOUNTING@ONCALLSERVICESANDRENTALS.COM""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"On Call Services & Rentals, LLC",oncallservicesrentalsllc@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Thrope Plant Services,thropeplantservices@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Thrope Plant Services,thropeplantservices@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Thrope Plant Services,thropeplantservices@internalemail.com,email,bverret@energyspecialty.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Thrope Plant Services,thropeplantservices@internalemail.com,entityId,THOR-HOUS,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Thrope Plant Services,thropeplantservices@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Thrope Plant Services,thropeplantservices@internalemail.com,notificationList,"[""bverret@energyspecialty.com""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Thrope Plant Services,thropeplantservices@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"RAM PRODUCTS, LTD",ramproductsltd@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"RAM PRODUCTS, LTD",ramproductsltd@internalemail.com,Expiration,2027-02-01,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"RAM PRODUCTS, LTD",ramproductsltd@internalemail.com,Verification Status,COMPLETE,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"RAM PRODUCTS, LTD",ramproductsltd@internalemail.com,Latest Submission Date,2026-02-02T22:19:27,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"RAM PRODUCTS, LTD",ramproductsltd@internalemail.com,email,ram@ramproducts.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"RAM PRODUCTS, LTD",ramproductsltd@internalemail.com,entityId,RAM -FT W,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"RAM PRODUCTS, LTD",ramproductsltd@internalemail.com,entityType,Deactivated,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"RAM PRODUCTS, LTD",ramproductsltd@internalemail.com,notificationList,"[""ram@ramproducts.com"",""mlane@higginbotham.net""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"RAM PRODUCTS, LTD",ramproductsltd@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Sharefile LLC,sharefilellc@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Sharefile LLC,sharefilellc@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Sharefile LLC,sharefilellc@internalemail.com,email,SFACCOUNTSRECEIVABLE@PROGRESS.COM,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Sharefile LLC,sharefilellc@internalemail.com,entityId,SHAR-RALE,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Sharefile LLC,sharefilellc@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Sharefile LLC,sharefilellc@internalemail.com,notificationList,"[""SFACCOUNTSRECEIVABLE@PROGRESS.COM""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Sharefile LLC,sharefilellc@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,EGGELHOF INC,egglehof@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,EGGELHOF INC,egglehof@internalemail.com,Expiration,2027-05-01,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,EGGELHOF INC,egglehof@internalemail.com,Verification Status,COMPLETE,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,EGGELHOF INC,egglehof@internalemail.com,Latest Submission Date,2026-05-18T15:52:09,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,EGGELHOF INC,egglehof@internalemail.com,email,jede@eggelhof.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,EGGELHOF INC,egglehof@internalemail.com,entityId,EGGE-TULS,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,EGGELHOF INC,egglehof@internalemail.com,notificationList,"[""jede@eggelhof.com""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,EGGELHOF INC,egglehof@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"STORM MANUFACTURING GROUP, INC.",stormmanufacturinggroupinc@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"STORM MANUFACTURING GROUP, INC.",stormmanufacturinggroupinc@internalemail.com,Expiration,2026-10-01,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"STORM MANUFACTURING GROUP, INC.",stormmanufacturinggroupinc@internalemail.com,Verification Status,COMPLETE,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"STORM MANUFACTURING GROUP, INC.",stormmanufacturinggroupinc@internalemail.com,Latest Submission Date,2025-10-03T18:30:58,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"STORM MANUFACTURING GROUP, INC.",stormmanufacturinggroupinc@internalemail.com,email,smgaccounting@stormmfg.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"STORM MANUFACTURING GROUP, INC.",stormmanufacturinggroupinc@internalemail.com,entityId,STOR-TORR1,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"STORM MANUFACTURING GROUP, INC.",stormmanufacturinggroupinc@internalemail.com,entityType,Deactivated,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"STORM MANUFACTURING GROUP, INC.",stormmanufacturinggroupinc@internalemail.com,notificationList,"[""smgaccounting@stormmfg.com"",""certificates@wtwco.com""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"STORM MANUFACTURING GROUP, INC.",stormmanufacturinggroupinc@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"NexLevel Redi Mix, LLC",nexlevelredimix@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"NexLevel Redi Mix, LLC",nexlevelredimix@internalemail.com,Expiration,2026-06-01,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"NexLevel Redi Mix, LLC",nexlevelredimix@internalemail.com,Verification Status,PENDING_SUBMISSION,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"NexLevel Redi Mix, LLC",nexlevelredimix@internalemail.com,Latest Submission Date,2026-04-22T19:54:11,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"NexLevel Redi Mix, LLC",nexlevelredimix@internalemail.com,email,ashley@nexlevelredimix.com,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"NexLevel Redi Mix, LLC",nexlevelredimix@internalemail.com,entityId,NEXL-BROK,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"NexLevel Redi Mix, LLC",nexlevelredimix@internalemail.com,entityType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"NexLevel Redi Mix, LLC",nexlevelredimix@internalemail.com,notificationList,"[""ashley@nexlevelredimix.com""]",05/24/2026,05/24/2026 05:05:31
A G Equipment Company,"NexLevel Redi Mix, LLC",nexlevelredimix@internalemail.com,verificationType,Collect Only,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Texas Process Equipment,texasprocessequipment@internalemail.com,Effective Group,!Collect_Only_Global_Insurance,05/24/2026,05/24/2026 05:05:31
A G Equipment Company,Texas Process Equipment,texasprocessequipment@internalemail.com,Expiration,2026-10-05,05/24/2026,05/24/2026 05:05:31
