client,insured_id,insured_name,legal_name,primary_contact_email,primary_contact_name,compliance_status,verification_status,next_expiration,active,paused,country,city,state,sync_date,sync_timestamp
A G Equipment Company,00172e63-0776-4288-904d-2a3d4fb63c00,DRESSER-RAND COMPANY,,xxx70@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,00224c42-1be2-4a79-a7f2-b013fa331fa9,OKLAHOMA SPECIALIZED TRANSPORT LLC,,agnoemail96@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0024a9db-7f38-40d1-b402-4cf31c587891,Doug Woods dba Sundance Lawn and Turf,,dougwoodsandsundancelawnandturf@internalemail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,004ed87c-22de-4939-8018-dcec2caf14d7,Flipnode LLC,,flipnodellc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,006734d6-de25-461a-9e84-d48a83e451ec,FLUID FLOW PRODUCTS INC,,arwest@fluidflow.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,006d6c58-c1fc-4600-9ca9-3462b51f2134,"Detechtion Holdings, LP",,detechtionholdingslp@noemail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,00c21c11-96bf-43de-98ad-818d7c269a68,W M HEITGRAS CO,,agnoemail50@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,01028f7a-3121-4798-99eb-34f1f7237808,"THE KEY GROUP, INC.",,thekeygroupinc@internalemail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0145d318-bcca-450a-9fb5-fbb26e67f8d3,PEDDINGHAUS CORPORATION,,cheryl-werner@peddinghaus.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,014aea48-ff20-4a12-b472-40f02ee0f47c,OVERHEAD DOOR OF TULSA,,xxbmalloy@overheaddoortulsa.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,01556f7e-9fb1-4850-9cee-f9bd7ad7cae7,MATTSCO SUPPLY COMPANY,,xxmary@mattsco.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0197b60e-5a3f-434e-9330-18d33af74c93,LICKITY SPLIT EXPEDITING LLC,,xxx92@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,01a829fd-74b0-4121-9068-662b3c887a77,TULSA VALVE LLC,,agnoemail110@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,01cfe7fb-7ca0-4d27-9a2f-9e84591b1814,"NEENAH ENTERPRISES, INC",,neenahenterprisesinc@internalemail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,023415c4-aaef-4717-b9e8-8b908d2f2836,LINCOLN ELECTRIC COMPANY,,lincolnelectriccompany@internalemail.com,,COMPLIANT,COMPLETE,2026-08-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0295a9fa-cb9a-4baf-8b12-35238ece3f85,"AIR POWER, INC",,airpowerinc@internalemail.com,,PENDING,PENDING_INSURED_SUBMISSION,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,02ab6146-1b88-4613-926c-480d0973d3c8,ENGINEERED EQUIPMENT INC,,xxx65@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,02dad461-b48a-4b1a-a10f-f380bddddf6f,DEEP SOUTH EQUIPMENT COMPANY,,xxgerald.boudreaux@deepsouthequipment.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,02e0651a-345e-4a40-be39-bbecd5f1a32f,HUDSON PRODUCTS CORPORATION,,hudsonproductscorporation@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,02e79485-5107-48b6-afbd-a5aea66e44bb,"METALS USA PLATES & SHAPES SOUTHCENTRAL, INC",,xxhbradford@metalsusa.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,02f364af-a329-4774-8778-ac191ffa5c66,MIDWEST BLOCK & BRICK,,agnoemail58@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,02f7abe0-04de-4db3-b796-ca456a4341cf,LUCAS CONTROLS,,xxleslie@lucascontrolsco.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,02fb61fe-0e0c-4120-b361-00f3b45ae95c,FIKE CORP,,ar@fike.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,030a6b76-152f-4226-8342-4de968957d39,VINSON PROCESS CONTROLS,,vinsonprocesscontrols@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,2027-03-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,033b1d70-f378-47c5-af04-da521b0126ae,LR SPECIALTY METALS INC,,agnoemail109@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,035e380d-2533-4624-ad5b-5fcdede8628b,"WILJO INTERIORS, INC",,xxphyllis@wiljointeriors.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0387bf84-3886-4732-bee3-ac16dcaa097b,"A-TECH, INC",,xxar@atech-inc.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0388f3a0-6698-4eea-9113-eb90126561ff,CROSSLAND HEAVY CONTRACTORS INC,,crosslandheavycontractorsinc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,2026-04-30,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,03a39944-34eb-40f4-a049-c8d1aadb9996,"ROBERTS MANUFACTURING CO, INC",,xxbevmccormick@tulsacoxmail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,03ce7146-68f4-4ff9-a4a8-fe69118661d7,"TRI-STATES SALES, INC",,agnoemail43@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,03de4bc2-9056-4258-b13a-52f93ff1b4e9,SAWS RX,,seeastwood@aol.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,03eb1ab3-32cf-4a14-8830-710ba192f6c0,VOORTMAN USA LLC,,voortmanusallc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,2026-01-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,03f03951-e3a3-43dd-9477-35ed28fc2417,"BUILDERS SUPPLY, INC",,bsi@bsiok.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,040ffcd4-36c1-4469-b2fb-4a967c054f12,REGER LASER INC,,regerlaserinc@internalemail.com,,COMPLIANT,PENDING_INSURED_SUBMISSION,2026-07-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,04281873-5b58-44e6-9734-1cf0e4424641,INTERSTATE STEEL & METALS INC,,interstatesteel&metalsinc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,2026-02-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,044264ea-4f30-49dd-99a3-41eb343bf39a,SKF USA INC.,,xxoscar.rodriguez@skf.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,047adcb6-d120-4977-bd74-eefd5d122ca0,"DORINGER COLD SAWS, INC",,doringercoldsawsinc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,2026-02-14,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,04ae560d-de68-451d-94fa-bf4da07b5f5c,STI TRUCKING LLC,,melinda.tramel@actn.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,04b29130-14c3-4462-8332-c7f668ee3b84,Bray Process Control,,brayprocesscontrol2@internalemail.com,,COMPLIANT,PENDING_INSURED_SUBMISSION,2026-07-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0507144b-6a79-49a2-9aa8-b7bed0618187,VICTOR WELDING SUPPLY CO,,victorweldingsupplyco@internalemail.com,,COMPLIANT,COMPLETE,2027-02-10,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,051b9dea-cedc-4f84-9216-e323e795652d,RESOURCEONE ADMINISTRATORS INC,,xxx@yoursummit.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,056b5323-af1a-4c47-b5ad-27599ab541c7,EAGLE REDI-MIX,,daniel@eagleredimix.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,057ff228-5841-423d-bd63-6637705cd21a,VICTOR WELDING SUPPLY CO,,xxbnorton@victorwelding.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,05b13541-65ef-497b-8635-3f9a25007b3b,"KIENE DIESEL ACCESSORIES, INC",,kienedieselaccessoriesinc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,2026-01-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,05da5cd7-623e-4ada-bcca-9a0965f97fd3,JCL Safety Services,,jclsafetyservices@internalemail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,064f43d4-1d05-4d27-ac77-4649d97e61c4,"AIR SYSTEM PRODUCTS, INC",,aspaccounts@filtrationgroup.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,067ed1a2-c640-47c7-88bc-ed9278f48bdc,"MC MACHINERY SYSTEMS, INC",,mcmachinerysystemsinc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,06af6b25-24e8-426c-b4b0-93fa25e81fc1,"WEAMCO, INC",,weamcoinc@internalemail.com,,COMPLIANT,PENDING_INSURED_SUBMISSION,2026-07-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,06c09e65-fa5f-4aac-afee-c2366924af62,THELCO CORPORATION,,dmontoya@thelco.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,07085e39-0ccb-4948-81a7-2069e3cb71d0,COMPRESSOR ENGINEERING CORP,,xxceco.ar@ceconet.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,07250973-5b44-4ecd-a255-737dc1d7f187,NORTHWEST CONCRETE PRODUCTS INC,,northwestconcreteproductsinc@noemail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0737b2e8-52c0-41cd-b2fd-1552d18e12c8,UPS FREIGHT,,xxxjubina@ups.com,,NON_COMPLIANT,ACTIONS_REVIEW,2022-05-01,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,074f2123-19be-4dfe-9cde-cba10e552323,TWIN DISC INC,,twindiscinc@noemail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,075988c3-616c-43ab-aa9a-7413c67eb7d9,"ZEP SALES AND SERVICE, INC",,zepsalesandserviceinc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,07743cbb-b999-4bb0-a8b3-0883fa728340,"FLUID SPECIALTIES, INC",,accountsreceivable@aberdeendynamics.com,,NON_COMPLIANT,EXHAUSTED,2024-02-05,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,07863848-cdcd-4205-8494-4111c440d002,DRV CONSULTING INC,,agnoemail161@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,07b33ed6-8d3d-4e6e-914d-28e9975615e2,DETECHTION,,detechtion@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,07b74f7e-2508-4724-9e20-4164edbed870,Universal Sandblasting and Coasting Inc,,universalsandblastingandcoastinginc@internalemail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,07bff544-7173-4ca6-b146-647c85a978bd,"ECOM AMERICA, LTD.",,accountingsolutions@ecomusa.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,07e44baa-eb85-407a-9491-068b40ad2bc9,UNITED RENTALS,,unitedrentals@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0810d68a-dba5-4b65-a23e-2446404fd691,"FORGY PROCESS INSTRUMENTS, INC",,cforgy@forgyprocess.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,085edf36-7ec7-4984-a80d-94b150ee1a4f,LICKITY SPLIT EXPEDITING LLC,,lickitysplitexpeditingllc@noemail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,086cb5b7-be2c-449e-9122-1dd89c71d2f5,LA CAR TUBE COMPANY,,xxsusie.hutchinson@lacartube.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,086fdf70-4aeb-4ac8-a4f9-656a1ecd4d7d,"C4 INDUSTRIAL, INC.",,sherri@c4industrial.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,087b46dd-b805-4888-be74-4470e0fdf1b1,"DELTA STEEL, INC",,deltasteelinc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0881680c-9f5f-4feb-86d1-baf76a37e458,"DXP ENTERPRISES, INC SEPCO INDUSTRIES, INC",,xxx69@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0892cdde-e97c-4a88-ae78-e0726d7efcfd,"YOCHAM TRUCKING, INC",,xxx79@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,08aee43b-d492-4be7-a4a9-835f5485c5b1,FREEDOM EXPRESS,,kaye@freedomexpress.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,08d0ca7c-4bf6-458a-aaad-ee3933235617,NAVIGATION NETWORK INC,,rayl@nav-net.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,08d47777-380c-49f7-bd41-5f25a9c445bd,NUCOR-YAMATO STEEL COMPANY,,agnoemail31@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,08e9ab62-9c8e-48ef-bd06-700f88e37c3f,"KROHNE AMERICA, INC",,krohneamericainc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0909bac7-3205-4b9b-926e-607d0fdfdbe7,"WHITCO SUPPLY, LLC",,agnoemail30@noemail.com,,COMPLIANT,COMPLETE,2024-01-01,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,091184c4-e18a-438c-91fe-5dcec6ed99eb,"ARROW EXTERMINATORS, INC.",,xxbmartin@nomorebugs.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,09221389-67bd-4757-b790-6cb76646c575,SMITHEY ENVIRONMENTAL SERVICES LLC,,xxx4@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,096c9bd9-2a18-4ed2-8fc3-1a325d9ac16b,SPECTRUM PAINT COMPANY,,spectrumpaintcompany@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,2025-10-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,09882675-b24f-4e46-8d87-92193fb81460,"PRESTON-EASTIN, INC.",,preston-eastininc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,09d13482-026d-40ef-9a2a-275c17a097ce,"MC MACHINERY SYSTEMS, INC",,mary.petrospour@mcmachinery.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,09d7d62c-1ed0-4984-b9c8-c851bf6c67da,GLOBAL COMPRESSION SERVICES,,globalcompressionservices@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,2025-12-31,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,09ed4709-4867-4409-a7b6-af88d473b8e2,CHART POOL USA INC,,xxx@chartpool.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,2021-07-30,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0a0c017f-4a0d-4ac9-afe1-ff751a6b41e9,FLUID ENGINEERING,,fluidengineering@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,2026-04-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0a125cd3-764c-43f1-a596-de86b21ec127,TRADE RISK GUARANTY BROKERAGE SERVICES,,traderiskguarantybrokerageservices@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0a5302ee-bd28-4239-b82e-af98b9b3ecd8,NAPA AUTO PARTS,,agnoemail159@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0a7d5011-07fa-4b77-a315-09ea524843f1,DEEP SOUTH EQUIPMENT COMPANY,,gerald.boudreaux@deepsouthequipment.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0ad0e142-97be-4791-a0bd-447f5bbaf65a,EAGLE REDI-MIX,,xxdaniel@eagleredimix.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0b19798d-ce82-4039-9546-39ac96c9acee,"BIG RED FASTENERS, INC",,xxlindsey@bigredfasteners.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0b33ffa7-caa0-403f-a0de-0f2c79701f49,"TRUCKPRO, LLC",,truckprollc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0b9ba7f9-51fc-49c4-9919-1eb137573ea3,MAC'S ALUMINUM PRODUCTS,,macsaluminum@yahoo.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0bd2a625-785c-4663-af30-fd88946a318d,AARON FENCE CO,,vickiw@aaronfence.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0c19e4f0-d22d-46e1-8aaa-bb4f249be6eb,"EBS INK-JET SYSTEMS USA, INC",,e.abell@ebs-inkjet.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0c45c133-0fc1-41da-a87f-56eb56570359,PRODUCTION MANUFACTURING CO,,productionmanufacturingco@internalemail.com,,COMPLIANT,COMPLETE,2027-02-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0c64cc62-4d6a-4a98-9521-2e14d8e71721,FLUID ENGINEERING,"TM Industrial Supply, Inc.",heather_maciulewicz@fluideng.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0c6ab900-5a9d-441b-8e34-cf7e0802deb5,ENPRO INC,,michele_kately@enproinc.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0d0012dd-5c29-4286-ba82-d35a9921ad92,ANDON SPECIALTIES,,xxsales1@andon.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0d0fc310-1f0b-426c-8cca-7da498c8a590,"THIRD GENERATION ELECTRIC, INC",,xxtiffany@tgetulsa.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0d2800d0-6e22-4144-b40f-572fa9c68259,GRAVOTECH,,gravotech@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0d47c280-a325-47e3-a667-925860747dec,OKLAHOMA GAUGE & INSTRUMENT CO,,jcvoss36@gmail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0d8fdd71-79ae-4543-afc0-00c98105dae8,ACS STEEL COMPANY LLC,,xxx@acssteel.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,2021-11-16,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0d9a6a79-3fed-4d68-b39b-afcc2cce086b,"NAMEPLATES, INC",,agnoemail71@noemail.com,,NON_COMPLIANT,NO_INSURED_RESPONSE,,false,true,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0d9c29b1-770d-4b4e-92a1-69b6365223d3,SPECIAL METALS INC,,specialmetalsinc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0db9c35a-9e80-4cb7-bfc7-13b995883d7b,"THE UNLAUB CO, INC",,theunlaubcoinc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0de43e43-1db8-4773-b677-949f0d57f722,SPINDLETOP ENERGY PRODUCTS CO LLC,,spindletopenergyproductscollc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0df2d4cd-642b-4c71-90ea-60aa0ef2bf48,SOUTHEASTERN FREIGHT LINES INC,,southeasternfreightlinesinc@internalemail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0e194b33-f671-4d70-9ad3-5c167a334604,ColdStream Energy LLC,,coldstreamenergyllc@internalemail.com,,NON_COMPLIANT,PENDING_INSURED_SUBMISSION,2025-10-01,true,false,,,,05/08/2026,05/08/2026 12:26:06
A G Equipment Company,0e709d47-d56c-437c-a587-8bc68d1c7d4f,A-1 MACHINE SHOP INC,,a1machineshopinc@noemail.com,,NEW,COMPLETE,,false,false,,,,05/08/2026,05/08/2026 12:26:06
