client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1865,0,0,0,05/11/2026,05/11/2026 08:54:47
Action Plumbing Construction,42,0,0,0,05/11/2026,05/11/2026 08:54:47
Bauer Foundation Corp.,156,0,0,0,05/11/2026,05/11/2026 08:54:47
Canadian Pacific Kansas City,5472,0,0,0,05/11/2026,05/11/2026 08:54:47
"Capital Railroad Contracting, Inc.",97,0,0,0,05/11/2026,05/11/2026 08:54:47
EMMES,275,0,0,0,05/11/2026,05/11/2026 08:54:47
ESS Companies,2710,0,0,0,05/11/2026,05/11/2026 08:54:47
Gart Properties,291,0,0,0,05/11/2026,05/11/2026 08:54:47
Kolb Grading,120,0,0,0,05/11/2026,05/11/2026 08:54:47
Mizuho Bank,27,0,0,0,05/11/2026,05/11/2026 08:54:47
"Musselman & Hall Contractors, LLC",14,0,0,0,05/11/2026,05/11/2026 08:54:47
"Paragon Geophysical Services, Inc.",81,0,0,0,05/11/2026,05/11/2026 08:54:47
Scandroli Construction,878,0,0,0,05/11/2026,05/11/2026 08:54:47
Skyline Developers Construction LLC,16,0,0,0,05/11/2026,05/11/2026 08:54:47
The Abbey Management Company,572,0,0,0,05/11/2026,05/11/2026 08:54:47
Trinity Chemical Industries LLC,147,0,0,0,05/11/2026,05/11/2026 08:54:47
United Coal Company LLC,511,0,0,0,05/11/2026,05/11/2026 08:54:47
