client,vendor_id,vendor_name,document_id,document_name,document_types,status,reviewed_at,archived_at,expiration_date,issue_date,flagged,flag_level,flag_notes,applies_to_all,insurer_names,created_at,sync_date
"Block Real Estate Services, LLC",69fded0e62446148bd848ba7,Athletico Management LLC,6a05e536fe7b4a8a03612c3a,Revised240048.pdf,,processed,,,2023-03-01,2022-07-18,false,,,true,"Underwriters at Lloyd's, London; National Union Fire Insurance Company of Pittsburgh, Pa.; Continental Casualty Company; National Fire Insurance Company of Hartford; Coverys Specialty Insurance Company",2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded0e62446148bd848ba7,Athletico Management LLC,6a05e537b65dbfe9915fe0e5,240048.pdf,,processed,,,2023-03-01,2022-07-18,false,,,true,"Underwriters at Lloyd's, London; National Union Fire Insurance Company of Pittsburgh, Pa.; Continental Casualty Company; National Fire Insurance Company of Hartford; Coverys Specialty Insurance Company",2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded0e62446148bd848ba7,Athletico Management LLC,6a05e538374041e2bb9516be,240053.pdf,,processed,,,2021-03-01,2020-10-30,false,,,true,"The Continental Insurance Company; National Union Fire Insurance Company of Pittsburgh, Pa.; Valley Forge Insurance Company",2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded0e62446148bd848ba7,Athletico Management LLC,6a05e53c05b2d4f99739aac1,AthleticoManagementCOI.pdf,,processed,,,2022-03-01,2021-04-02,false,,,true,"Underwriters at Lloyd's, London; National Union Fire Insurance Company of Pittsburgh, Pa.; Continental Casualty Company; Valley Forge Insurance Company; Coverys Specialty Insurance Company",2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded0e62446148bd848ba7,Athletico Management LLC,6a05e53eb65dbfe9915fe221,240053.pdf,,processed,,,2022-03-31,2022-02-16,false,,,true,"Underwriters at Lloyd's, London; National Union Fire Insurance Company of Pittsburgh, Pa.; Continental Casualty Company; Valley Forge Insurance Company; Coverys Specialty Insurance Company",2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded0e62446148bd848bc5,Bankers Life and Casualty Company,6a05e52705b2d4f99739a78d,cert_CHI_PERGBUILDINGS_L.L.C._8741106_13.pdf,,processed,,,2022-10-01,2021-12-02,false,,,true,Great Northern Insurance Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded0e62446148bd848bc5,Bankers Life and Casualty Company,6a05e528feb0a066655b83c0,img20201019_15275891.pdf,,processed,,,,,false,,,true,,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded0e62446148bd848bc5,Bankers Life and Casualty Company,6a05e529fe7b4a8a0361295b,cert_CHI_BlockRealEstateServices_LLC_9038814_14.pdf,,processed,,,2021-10-01,2020-10-08,false,,,true,Federal Insurance Company; Sentry Insurance Company; N / A,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded0e62446148bd848bc5,Bankers Life and Casualty Company,6a05e52ab65dbfe9915fdce3,CNOFinancialGroupEPI.pdf,,processed,,,2023-11-01,2023-10-04,false,,,true,Great Northern Insurance Company,2026-05-14,2026-05-15
"Block Real Estate Services, LLC",69fded0e62446148bd848bc5,Bankers Life and Casualty Company,6a05e52bd9aed916f09c15af,Bankers.pdf,,processed,,,2024-10-01,2023-11-03,false,,,true,"Hartford Financial Services Group , Inc.",2026-05-14,2026-05-15
