client,id,name,type,visibility,readonly,ref_type,ref_id,user_id,filter_json,created_at,updated_at,sync_date
"Block Real Estate Services, LLC",69d69f414f5954263ce4ed4d,Non Compliant Parties,PrimaryRecord,workspace,false,PrimaryObject,69bc0d686bc195aa02a7e3b0,6123dc3880b072109d86cac9,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""complianceStatus"",""operator"":""in"",""value"":[""nonCompliant""]}]}",2026-04-08,2026-04-08,2026-06-01
"Block Real Estate Services, LLC",6a0b5d7000c98f5cc7ab43a9,The PURGE,PrimaryRecord,workspace,false,PrimaryObject,69bc0d686bc195aa02a7e3b0,6916131ad7eff5d5f9194e6f,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""documentsCount"",""operator"":""greaterThan"",""value"":1}]}",2026-05-18,2026-05-18,2026-06-01
"Block Real Estate Services, LLC",6a0f3946f8f535d3664079fd,Expired Delete,Document,workspace,false,,,6916131ad7eff5d5f9194e6f,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""expiration"",""operator"":""beforeLast"",""value"":{""months"":18}}]}",2026-05-21,2026-05-21,2026-06-01
"Block Real Estate Services, LLC",6a15e475654b5533bf463d60,Unassigned Docs,Document,workspace,false,,,6939ca46ef5dc7a165ca2078,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""primaryRecordId"",""operator"":""equal"",""value"":""__empty__""}]}",2026-05-26,2026-05-26,2026-06-01
"Block Real Estate Services, LLC",6a16051c188121e7ef71b629,More than 1 document,PrimaryRecord,workspace,false,PrimaryObject,69bc0d686bc195aa02a7e3b0,6939ca46ef5dc7a165ca2078,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""documentsCount"",""operator"":""greaterThan"",""value"":1},{""name"":""tagId"",""operator"":""notIn"",""value"":[""6a0728f8f523b35823695b2f"",""6a0b0e81198e7a1a0987477d""]}]}",2026-05-26,2026-05-26,2026-06-01
"Block Real Estate Services, LLC",6a16ef10da8b4807521f6566,TL Created (UNKNOWN & VENDOR) with 0 Documents,PrimaryRecord,workspace,false,PrimaryObject,69bc0d686bc195aa02a7e3b0,6916131ad7eff5d5f9194e6f,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""typeId"",""operator"":""in"",""value"":[""6a0728ea206702aac861ebad"",""6a0b0e81198e7a1a0987477a""]},{""name"":""documentsCount"",""operator"":""equal"",""value"":0}]}",2026-05-27,2026-05-27,2026-06-01
"Block Real Estate Services, LLC",6a16ef921814afc0f533998d,All TL Created Parties,PrimaryRecord,workspace,false,PrimaryObject,69bc0d686bc195aa02a7e3b0,6916131ad7eff5d5f9194e6f,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""typeId"",""operator"":""in"",""value"":[""6a0728ea206702aac861ebad"",""6a0b0e81198e7a1a0987477a""]}]}",2026-05-27,2026-05-27,2026-06-01
"Block Real Estate Services, LLC",6a16f5fe1814afc0f534d349,Older than 1 week,Document,workspace,false,,,6939ca46ef5dc7a165ca2078,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""expiration"",""operator"":""beforeLast"",""value"":{""weeks"":1}}]}",2026-05-27,2026-05-27,2026-06-01
"Block Real Estate Services, LLC",6a16fec7da8b480752227e6b,All Tenants,PrimaryRecord,workspace,false,PrimaryObject,69bc0d686bc195aa02a7e3b0,6916131ad7eff5d5f9194e6f,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]}]}",2026-05-27,2026-05-27,2026-06-01
"Block Real Estate Services, LLC",6a1849d38bbe0a0890e9e475,Abbey view,ContextRecord,workspace,false,ContextObject,69bc0d686bc195aa02a7e3af,6939ca46ef5dc7a165ca2078,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]}]}",2026-05-28,2026-05-28,2026-06-01
