client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1870,0,0,0,06/01/2026,06/01/2026 11:26:07
Action Plumbing Construction,42,0,0,0,06/01/2026,06/01/2026 11:26:07
Bauer Foundation Corp.,156,0,0,0,06/01/2026,06/01/2026 11:26:07
Canadian Pacific Kansas City,5541,0,0,0,06/01/2026,06/01/2026 11:26:07
"Capital Railroad Contracting, Inc.",97,0,0,0,06/01/2026,06/01/2026 11:26:07
EMMES,284,0,0,0,06/01/2026,06/01/2026 11:26:07
ESS Companies,2710,0,0,0,06/01/2026,06/01/2026 11:26:07
Gart Properties,292,0,0,0,06/01/2026,06/01/2026 11:26:07
Kolb Grading,120,0,0,0,06/01/2026,06/01/2026 11:26:07
Mizuho Bank,27,0,0,0,06/01/2026,06/01/2026 11:26:07
"Musselman & Hall Contractors, LLC",14,0,0,0,06/01/2026,06/01/2026 11:26:07
"Paragon Geophysical Services, Inc.",81,0,0,0,06/01/2026,06/01/2026 11:26:07
Scandroli Construction,900,0,0,0,06/01/2026,06/01/2026 11:26:07
Skyline Developers Construction LLC,16,0,0,0,06/01/2026,06/01/2026 11:26:07
The Abbey Management Company,572,0,0,0,06/01/2026,06/01/2026 11:26:07
Trinity Chemical Industries LLC,147,0,0,0,06/01/2026,06/01/2026 11:26:07
United Coal Company LLC,511,0,0,0,06/01/2026,06/01/2026 11:26:07
