client,id,name,type,type_id,status,primary_email,primary_contact_name,all_emails,website,additional_notes,address_raw,address_line1,address_city,address_region,address_country,address_postal,documents_count,non_responsive_since,last_message_sent,external_codes,automations_enabled,created_at,updated_at,sync_date
"Block Real Estate Services, LLC",69fded0c62446148bd848af9,"1&1 Internet / IONOS, Inc.",Party,69bc0d686bc195aa02a7e372,active,,,,,,,100 North 18th Street,Philadelphia,Pennsylvania,United States,19103,,,,,69bc0d686bc195aa02a7e3ae; 69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-12,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848afc,1248 Holdings LLC,Party,69bc0d686bc195aa02a7e372,active,,,,,,,4622 Pennsylvania Avenue,Kansas City,Missouri,United States,64112,,,,,69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-10,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848aff,"1-800-Pack Rat, LLC",Party,69bc0d686bc195aa02a7e372,active,,,,,,,11640 Northpark Drive,Wake Forest,North Carolina,United States,27587,,,,,69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-12,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b02,24 Hour Check Cashing,Party,69bc0d686bc195aa02a7e372,active,,,,,,,8437 Wornall Road,Kansas City,Missouri,United States,64114,,,,,69bc0d686bc195aa02a7e3ae; 69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-12,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b05,"Big Biscuit / 27 Biscuits, LLC",Party,69bc0d686bc195aa02a7e372,active,,,,,,,5215 West 94th Terrace,Prairie Village,Kansas,United States,66207,,,,,69bc0d686bc195aa02a7e3ac; 69bc0d686bc195aa02a7e3ae,2026-05-08,2026-06-11,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b08,"Ray's Donuts & Deli / 6tinos, LLC",Party,69bc0d686bc195aa02a7e372,active,,,,,,,315 Northeast Vivion Road,Kansas City,Missouri,United States,64118,,,,,69bc0d686bc195aa02a7e3ae; 69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-12,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b0b,717 Office Group LLC,Party,69bc0d686bc195aa02a7e372,active,,,,,,,800 West 47th Street,Kansas City,Missouri,United States,64112,,,,,69bc0d686bc195aa02a7e3ae; 69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-12,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b0e,A.N.D. Design Studio LLC,Party,69bc0d686bc195aa02a7e372,active,,,,,,,852 Southwest Highland Avenue,Grain Valley,Missouri,United States,64029,,,,,69bc0d686bc195aa02a7e3ae; 69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-12,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b14,Academy Bank,Party,69bc0d686bc195aa02a7e372,active,,,,,,,1111 Main Street,Kansas City,Missouri,United States,64105,,,,,69bc0d686bc195aa02a7e3ac; 69bc0d686bc195aa02a7e3ae,2026-05-08,2026-06-11,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b17,"Pertronix (Aeromotive) / Accelerate Auto Works Intermediate, LLC",Party,69bc0d686bc195aa02a7e372,active,,,,,,,10925 Mill Creek Road,Olathe,Kansas,United States,66061,,,,,69bc0d686bc195aa02a7e3ae; 69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-12,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b1a,Actuarial Resources Corporation (ARC),Party,69bc0d686bc195aa02a7e372,active,,,,,,,,,,,,,,,,69bc0d686bc195aa02a7e3ae; 69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-12,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b1d,"Adams Cable Equipment, Inc.",Party,69bc0d686bc195aa02a7e372,active,,,,,,,9700 Widmer Road,Lenexa,Kansas,United States,66215,,,,,69bc0d686bc195aa02a7e3ac; 69bc0d686bc195aa02a7e3ae,2026-05-08,2026-06-11,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b20,Adare Pharma Solutions,Party,69bc0d686bc195aa02a7e372,active,,,,,,,,,,,,,,,,69bc0d686bc195aa02a7e3ae; 69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-12,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b23,"ADI (Ademco Distribution, Inc.) / Honeywell International, Inc.",Party,69bc0d686bc195aa02a7e372,active,,,,,,,275 Broadhollow Road,Melville,New York,United States,11747,,,,,69bc0d686bc195aa02a7e3ae; 69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-12,2026-06-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b26,"Advanced Auto / Advanced Stores Co., Inc.",Party,69bc0d686bc195aa02a7e372,active,,,,,,,4401 East Truman Road,Kansas City,Missouri,United States,64127,,,,,69bc0d686bc195aa02a7e3ac,2026-05-08,2026-06-12,2026-06-13
