client,id,name,type,visibility,readonly,ref_type,ref_id,user_id,filter_json,created_at,updated_at,sync_date
"Block Real Estate Services, LLC",69d69f414f5954263ce4ed4d,Non Compliant Parties,PrimaryRecord,workspace,false,PrimaryObject,69bc0d686bc195aa02a7e3b0,6123dc3880b072109d86cac9,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""complianceStatus"",""operator"":""in"",""value"":[""nonCompliant""]}]}",2026-04-08,2026-04-08,2026-06-03
"Block Real Estate Services, LLC",6a16fec7da8b480752227e6b,All Tenants,PrimaryRecord,workspace,false,PrimaryObject,69bc0d686bc195aa02a7e3b0,6916131ad7eff5d5f9194e6f,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]}]}",2026-05-27,2026-05-27,2026-06-03
"Block Real Estate Services, LLC",6a1849d38bbe0a0890e9e475,Abbey view,ContextRecord,workspace,false,ContextObject,69bc0d686bc195aa02a7e3af,6939ca46ef5dc7a165ca2078,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]}]}",2026-05-28,2026-05-28,2026-06-03
"Block Real Estate Services, LLC",6a1dc7a4190c9b6c04b61f63,Assigned to review,Document,workspace,false,,,69ea2b2eabc6878d28437137,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""reviewStatus"",""operator"":""in"",""value"":[""toReview""]},{""name"":""primaryRecordId"",""operator"":""notEqual"",""value"":""__empty__""}]}",2026-06-01,2026-06-01,2026-06-03
"Block Real Estate Services, LLC",6a20851b88ee85e6b0443686,Kristin Heard,ContextRecord,workspace,false,ContextObject,69bc0d686bc195aa02a7e3af,6916131ad7eff5d5f9194e6f,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""attributes"",""operator"":""match"",""value"":{""and"":[{""name"":""attributeId"",""operator"":""equal"",""value"":""6a171fe6bd6dc7d1e7f13728""},{""name"":""attributeValue"",""operator"":""equal"",""modifiers"":{""caseSensitive"":false},""value"":""1c8b914e-090f-4b1b-9400-15d195782e7c""}]}}]}",2026-06-03,2026-06-03,2026-06-03
Construction Management Inc.,69dfbb5db82bd9e9de745d20,Hampton Project,PrimaryRecord,workspace,false,PrimaryObject,69c55ecf8839dd8358282da2,6916131ad7eff5d5f9194e6f,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""contextRecordId"",""operator"":""in"",""value"":[""69ea482eabc6878d284b2eef""]}]}",2026-04-15,2026-04-23,2026-06-03
Construction Management Inc.,69e8fc6ba793ac461243467f,A-Z,PrimaryRecord,workspace,false,PrimaryObject,69c55ecf8839dd8358282da2,6939ca46ef5dc7a165ca2078,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]}]}",2026-04-22,2026-04-22,2026-06-03
Construction Management Inc.,69ea60025034d6d257e6e499,Staybridge Projects,PrimaryRecord,workspace,false,PrimaryObject,69c55ecf8839dd8358282da2,69ea2b2eabc6878d28437137,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""contextRecordId"",""operator"":""in"",""value"":[""69ea483df29b547256e5eb8c""]}]}",2026-04-23,2026-04-23,2026-06-03
Construction Management Inc.,69f36074b006b12d5d8016fa,A-Z,Document,workspace,false,,,69ea2b2eabc6878d28437137,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active"",""archived""]}]}",2026-04-30,2026-04-30,2026-06-03
QTS Data Centers,6a035a047b5fded8b0173218,Active,PrimaryRecord,workspace,false,PrimaryObject,69f0b71d7b24cf3460d0c07d,6916131ad7eff5d5f9194e6f,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]}]}",2026-05-12,2026-05-12,2026-06-03
QTS Data Centers,6a035bd11881bdb2446f7b76,To Review,PrimaryRecord,workspace,false,PrimaryObject,69f0b71d7b24cf3460d0c07d,6916131ad7eff5d5f9194e6f,"{""and"":[{""name"":""status"",""operator"":""in"",""value"":[""active""]},{""name"":""reviewStatus"",""operator"":""in"",""value"":[""toReview""]}]}",2026-05-12,2026-05-12,2026-06-03
