client,action_id,action_type,insured_id,insured_name,status,created_at,updated_at,scheduled_at,completed_at,notes,triggered_by,sync_date,sync_timestamp
Canadian Pacific Kansas City,426a72ce-6ae6-4b94-bb02-7b049cb241d8,,db3091dc-e0d3-471d-b380-f4e0733b442a,,,2026-09-18T08:56:49,,,,,,09/18/2026,09/18/2026 04:07:22
Canadian Pacific Kansas City,56dcdff7-4b1b-450d-851a-09ccf6479180,,,,,2026-09-18T07:58:40,,,,,,09/18/2026,09/18/2026 04:07:22
Canadian Pacific Kansas City,626f948a-73d3-4c4c-94b0-40e7933402a4,,,,,2026-09-18T08:56:49,,,,,,09/18/2026,09/18/2026 04:07:22
Canadian Pacific Kansas City,706db5d4-8963-40d9-90af-5143a6fc5f38,,6ed2d44b-f932-4f71-95dc-0dba6bd5b0ee,,,2026-09-18T09:07:03,,,,,,09/18/2026,09/18/2026 04:07:22
Canadian Pacific Kansas City,85ab61a3-745b-41fd-81e2-1cc809abf93a,,,,,2026-09-18T09:07:03,,,,,,09/18/2026,09/18/2026 04:07:22
Canadian Pacific Kansas City,8c168d0c-55a4-44b4-b618-adeec0510f03,,db3091dc-e0d3-471d-b380-f4e0733b442a,,,2026-09-18T08:56:49,,,,,,09/18/2026,09/18/2026 04:07:22
Canadian Pacific Kansas City,ae0f64f4-38cf-4cf3-8ad6-b896189a9208,,,,,2026-09-18T09:07:03,,,,,,09/18/2026,09/18/2026 04:07:22
Canadian Pacific Kansas City,fad65389-0f2e-4e0d-a1e9-cd2fc6f0592d,,,,,2026-09-18T08:56:49,,,,,,09/18/2026,09/18/2026 04:07:22
EMMES,bad128e3-4a5c-441a-90fc-977ab7b83be7,,98e0418a-7d57-4a76-8964-eae5efcaaed1,,,2026-09-18T07:23:35,,,,,,09/18/2026,09/18/2026 04:07:22
Skyline Developers Construction LLC,130dcfb6-e7b4-4153-901c-b7a57ee401a1,,,,,2026-09-17T04:33:43,,,,,,09/18/2026,09/18/2026 04:07:37
Skyline Developers Construction LLC,4758c401-f3cb-47ea-800a-7d2c95cdc594,,,,,2026-02-03T15:11:23,,,,,,09/18/2026,09/18/2026 04:07:37
Skyline Developers Construction LLC,b7b401e1-fd4f-44a9-9e38-8d1d92c68920,,7118df6e-79d0-434d-aaa6-6f496a7b08f5,,,2026-09-17T04:33:43,,,,,,09/18/2026,09/18/2026 04:07:37
Skyline Developers Construction LLC,f8c1fcdd-58d3-41ce-b63f-1afdae547037,,,,,2026-09-17T04:33:43,,,,,,09/18/2026,09/18/2026 04:07:37
