client,insured_id,insured_name,primary_contact_email,overall_compliance,verification_status,non_compliance_reasons,sync_date
QTS Data Centers,69f0f3c4beb6279e947be0d0,"AP Gulf States, Inc.",,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c4beb6279e947be0d5,Brasfield & Gorrie L.L.C.,,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c4beb6279e947be0da,"Clayco, Inc.",,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c4beb6279e947be0df,Evans General Contractors LLC,,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c4beb6279e947be0e4,Gilbane Building Company,,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c4beb6279e947be0e9,"Gray Construction, Inc.",,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be0f3,"Holder Construction Group, LLC",,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be0fd,M. A. Mortenson Company,,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be107,"Structure Tone, LLC",,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be10c,"Suffolk Construction Company, Inc.",,PENDING,,,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be111,Whitting-Turner Contracting Company,,PENDING,,,2026-09-22
