client,id,display_name,requirement,cred_name,country,state,county_or_region,city,issuing_authority,sync_date,sync_timestamp
A G Equipment Company,8ff1f2cb-a486-488a-b3d8-84d1f67cd975,"United States, Alabama - Alabama Board of Cosmetology and Barbering - Barber License",BARBER_OR_HAIR_DESIGN,Barber License,United States,Alabama,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,0b4207be-807f-4844-9ed6-915351d2c9fe,"United States, Alabama - Alabama Board of Cosmetology and Barbering - Natural Hair Stylist License",BARBER_OR_HAIR_DESIGN,Natural Hair Stylist License,United States,Alabama,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,90386c27-7584-4685-9375-af3eb5784863,"United States, Alaska - Alaska Department of Commerce, Community, and Economic Development - Barber License",BARBER_OR_HAIR_DESIGN,Barber License,United States,Alaska,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,c0bd067a-bebd-43f4-aa28-cc10bad0a8f8,"United States, Alaska - Alaska Department of Commerce, Community, and Economic Development - Hair Braiding License",BARBER_OR_HAIR_DESIGN,Hair Braiding License,United States,Alaska,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,52d28d5b-d44a-4f84-a169-0d749d7bc128,"United States, Alaska - Alaska Department of Commerce, Community, and Economic Development - Hairdresser License",BARBER_OR_HAIR_DESIGN,Hairdresser License,United States,Alaska,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,45d383e7-bf6a-46a9-8378-e7be4b514a78,"United States, Alaska - Alaska Department of Commerce, Community, and Economic Development - Non-Chemical Barber License",BARBER_OR_HAIR_DESIGN,Non-Chemical Barber License,United States,Alaska,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,adca6607-7169-4864-85c0-c16963402409,"United States, Arizona - Arizona Barbering & Cosmetology Board - Barber License",BARBER_OR_HAIR_DESIGN,Barber License,United States,Arizona,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,e49cd34c-edba-4474-a986-3e1d743e0bd1,"United States, Arizona - Arizona Barbering & Cosmetology Board - Hairstyling License",BARBER_OR_HAIR_DESIGN,Hairstyling License,United States,Arizona,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,50f23efe-ddd0-4aeb-ba11-b051e164e43c,"United States, California - California Board of Barbering and Cosmetology - Barber License",BARBER_OR_HAIR_DESIGN,Barber License,United States,California,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,62760c4e-ab9b-43fc-ad19-51a739435658,"United States, California - California Board of Barbering and Cosmetology - Hairstylist License",BARBER_OR_HAIR_DESIGN,Hairstylist License,United States,California,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,712a694f-1c72-4fd3-aba1-3798614ad0b8,"United States, Colorado - Colorado Office of Barber and Cosmetology Licensure - Barber License",BARBER_OR_HAIR_DESIGN,Barber License,United States,Colorado,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,6e967927-5b80-4c1e-bcf5-716ee5b186dc,"United States, Colorado - Colorado Office of Barber and Cosmetology Licensure - Hairstylist License",BARBER_OR_HAIR_DESIGN,Hairstylist License,United States,Colorado,,,,06/01/2026,06/01/2026 12:00:46
A G Equipment Company,5044c6eb-7179-450d-81a4-f8d45ffc71e7,"United States, Delaware - Delaware Board of Cosmetology and Barbering - Barber License",BARBER_OR_HAIR_DESIGN,Barber License,United States,Delaware,,,,06/01/2026,06/01/2026 12:00:46
