client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/23/2026,07/23/2026 16:16:58
Action Plumbing Construction,42,0,0,0,07/23/2026,07/23/2026 16:16:58
Bauer Foundation Corp.,194,0,0,0,07/23/2026,07/23/2026 16:16:58
Canadian Pacific Kansas City,5542,0,0,0,07/23/2026,07/23/2026 16:16:58
"Capital Railroad Contracting, Inc.",97,0,0,0,07/23/2026,07/23/2026 16:16:58
EMMES,296,0,0,0,07/23/2026,07/23/2026 16:16:58
ESS Companies,2710,0,0,0,07/23/2026,07/23/2026 16:16:58
Gart Properties,300,0,0,0,07/23/2026,07/23/2026 16:16:58
Kolb Grading,120,0,0,0,07/23/2026,07/23/2026 16:16:58
Mizuho Bank,27,0,0,0,07/23/2026,07/23/2026 16:16:58
"Musselman & Hall Contractors, LLC",14,0,0,0,07/23/2026,07/23/2026 16:16:58
"Paragon Geophysical Services, Inc.",81,0,0,0,07/23/2026,07/23/2026 16:16:58
Scandroli Construction,908,0,0,0,07/23/2026,07/23/2026 16:16:58
Skyline Developers Construction LLC,16,0,0,0,07/23/2026,07/23/2026 16:16:58
The Abbey Management Company,592,0,0,0,07/23/2026,07/23/2026 16:16:58
Trinity Chemical Industries LLC,153,0,0,0,07/23/2026,07/23/2026 16:16:58
United Coal Company LLC,513,0,0,0,07/23/2026,07/23/2026 16:16:58
