client,action_id,action_type,insured_id,insured_name,status,created_at,updated_at,scheduled_at,completed_at,notes,triggered_by,sync_date,sync_timestamp
A G Equipment Company,62380373-88b3-4c40-bdcc-06899917de18,,075988c3-616c-43ab-aa9a-7413c67eb7d9,,,2026-08-20T12:30:41,,,,,,08/20/2026,08/20/2026 08:04:38
Bauer Foundation Corp.,0171e592-631f-4049-8e8b-3523b0682c17,,0590fd27-0595-48bf-bc86-4156d096f060,,,2026-08-19T15:21:23,,,,,,08/20/2026,08/20/2026 08:04:38
Bauer Foundation Corp.,30b0bd71-8b79-4f71-aabd-431c93597083,,09a76284-63f5-4b8f-9a39-d0e60880c037,,,2026-08-19T15:59:22,,,,,,08/20/2026,08/20/2026 08:04:38
Canadian Pacific Kansas City,2900bb06-f63f-4246-9748-b1f5d014a8d1,,a3faa87e-7ffc-4858-83cd-1e3be1f018e8,,,2026-08-20T12:17:54,,,,,,08/20/2026,08/20/2026 08:04:38
Gart Properties,72809f6f-5dd7-4ba2-b012-c191a9cd7af9,,,,,2026-07-23T13:41:46,,,,,,08/20/2026,08/20/2026 08:04:38
Kolb Grading,4d21fba7-afe8-484f-a95c-ebd934e4698f,,05d3d9a9-3ccc-433b-ba00-68354056f741,,,2026-08-20T11:07:35,,,,,,08/20/2026,08/20/2026 08:04:41
Kolb Grading,7637bfb8-a87c-4ce5-9ad4-96532696d0f9,,,,,2026-08-20T11:07:35,,,,,,08/20/2026,08/20/2026 08:04:41
Kolb Grading,76b9b3b9-df76-45e1-a6f1-50f409878985,,,,,2026-08-20T11:07:35,,,,,,08/20/2026,08/20/2026 08:04:41
Scandroli Construction,034457a4-e667-44d2-807c-c5169ea3cb9a,,e8bfd214-7dbe-4355-865a-26ce66126d24,,,2026-08-20T05:59:51,,,,,,08/20/2026,08/20/2026 08:04:51
Scandroli Construction,613f965d-c706-44f9-99e7-5a3f8c2b343d,,e8bfd214-7dbe-4355-865a-26ce66126d24,,,2026-08-20T05:59:51,,,,,,08/20/2026,08/20/2026 08:04:51
Scandroli Construction,a177eae9-3ec7-4aff-9b2b-8af60b400c9e,,,,,2026-08-20T05:59:51,,,,,,08/20/2026,08/20/2026 08:04:51
Scandroli Construction,f067c126-968b-434a-95bf-bc5399cd9ee7,,894c6e55-840b-4351-8cb4-e9f4762102db,,,2026-08-20T06:19:28,,,,,,08/20/2026,08/20/2026 08:04:51
Trinity Chemical Industries LLC,11ac9a54-dbc9-4c23-bf45-e1038136774e,,,,,2026-08-20T11:20:39,,,,,,08/20/2026,08/20/2026 08:04:54
Trinity Chemical Industries LLC,92846989-67f8-47cd-87c8-6192105c6904,,,,,2026-08-20T09:49:44,,,,,,08/20/2026,08/20/2026 08:04:54
