client,id,name,type,sync_date
"Block Real Estate Services, LLC",69d409c726fe5297ac53eceb,Lease  To,custom-fields,2026-09-06
"Block Real Estate Services, LLC",69bd73faa9080d01db40736f,Location,custom-fields,2026-09-06
"Block Real Estate Services, LLC",6a3427544277045ad4f2e8d6,PM Email,custom-fields,2026-09-06
"Block Real Estate Services, LLC",69d40a7e5abe99fc0df4a646,Property Manager,custom-fields,2026-09-06
"Block Real Estate Services, LLC",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,2026-09-06
"Block Real Estate Services, LLC",69d409bbfb47f64eb00fe8a5,Spaces,custom-fields,2026-09-06
Construction Management Inc.,69cbf16502eb730ba911bf65,ID Number,custom-fields,2026-09-06
Construction Management Inc.,69cbf3ab2520203535411db8,Project Location,custom-fields,2026-09-06
Construction Management Inc.,69cbf2f571023055442cc239,Project Name,custom-fields,2026-09-06
Construction Management Inc.,69ef655662401ec8fc189ff9,The Project,custom-fields,2026-09-06
Construction Management Inc.,69efb9c2f0d7b4d1e67676f8,The Project,custom-fields,2026-09-06
Construction Management Inc.,69cbf1c65e4887680bbf00b4,Type,custom-fields,2026-09-06
QTS Data Centers,6a5537db96aaebd9b618988d,Additional Insured,custom-fields,2026-09-06
QTS Data Centers,6a5537cc851f3db699f6195e,Certificate Holder,custom-fields,2026-09-06
QTS Data Centers,6a4fafe7e323b323ce744bef,Party Name,custom-fields,2026-09-06
QTS Data Centers,6a05f562ca42782ea34e79fa,Project ID,custom-fields,2026-09-06
QTS Data Centers,6a5531d65c65d2f1e184a76d,Project Requirements,custom-fields,2026-09-06
