client,id,name,type,type_id,status,primary_email,primary_contact_name,all_emails,website,additional_notes,address_raw,address_line1,address_city,address_region,address_country,address_postal,documents_count,non_responsive_since,last_message_sent,external_codes,automations_enabled,created_at,updated_at,sync_date
QTS Data Centers,69f0f3c4beb6279e947be0d0,"AP Gulf States, Inc.",69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079; 69f0b71d7b24cf3460d0c07b,2026-04-28,2026-09-22,2026-09-22
QTS Data Centers,69f0f3c4beb6279e947be0d5,Brasfield & Gorrie L.L.C.,69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079,2026-04-28,2026-09-18,2026-09-22
QTS Data Centers,69f0f3c4beb6279e947be0da,"Clayco, Inc.",69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079,2026-04-28,2026-09-20,2026-09-22
QTS Data Centers,69f0f3c4beb6279e947be0df,Evans General Contractors LLC,69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079; 69f0b71d7b24cf3460d0c07b,2026-04-28,2026-09-22,2026-09-22
QTS Data Centers,69f0f3c4beb6279e947be0e4,Gilbane Building Company,69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079,2026-04-28,2026-09-09,2026-09-22
QTS Data Centers,69f0f3c4beb6279e947be0e9,"Gray Construction, Inc.",69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079,2026-04-28,2026-09-21,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079,2026-04-28,2026-09-20,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be0f3,"Holder Construction Group, LLC",69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,,2026-04-28,2026-06-24,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079; 69f0b71d7b24cf3460d0c07b,2026-04-28,2026-09-20,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be0fd,M. A. Mortenson Company,69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079; 69f0b71d7b24cf3460d0c07b,2026-04-28,2026-09-16,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,<p>AM Best IX accepted by Denise Fahnbulleh</p>,,,,,,,,,,,69f0b71d7b24cf3460d0c079,2026-04-28,2026-09-20,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be107,"Structure Tone, LLC",69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079,2026-04-28,2026-09-14,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be10c,"Suffolk Construction Company, Inc.",69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079,2026-04-28,2026-09-20,2026-09-22
QTS Data Centers,69f0f3c5beb6279e947be111,Whitting-Turner Contracting Company,69f0b71d7b24cf3460d0c07d,69f0f3c3beb6279e947be0bd,active,,,,,,,,,,,,,,,,69f0b71d7b24cf3460d0c079; 69f0b71d7b24cf3460d0c07b,2026-04-28,2026-09-17,2026-09-22
