client,id,vendor_id,vendor_name,context_id,context_name,name,status,compliance_status,compliance_profile,compliance_tracking,cert_status,cert_expiration,cert_issue_date,cert_reviewed_at,cert_url,cert_processing,cert_flagged,cert_flag_level,cert_flag_notes,cert_applies_to_all,updated_at,sync_date
QTS Data Centers,6a19a46bda1723a45255b20d,69f0f3c4beb6279e947be0d0,"AP Gulf States, Inc.",69f10c28beb6279e947be4cd,"FTW1DC2 - QTS Fort Worth I DC2, LLC",Insurance Request,active,compliant,Standard 5,true,,,,,,,false,,,,2026-09-01,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030e4,69f0f3c4beb6279e947be0e9,"Gray Construction, Inc.",69f10c28beb6279e947be4d0,"NAL2DC1 - QTS New Albany II DC1, LLC",Insurance Request,active,non_compliant,Standard 6,true,,,,,,,false,,,,2026-09-15,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030e5,69f0f3c4beb6279e947be0e9,"Gray Construction, Inc.",69f10c28beb6279e947be4d1,"NAL2DC2 - QTS New Albany II DC2, LLC",Insurance Request,active,non_compliant,Standard 6,true,,,,,,,false,,,,2026-09-08,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030ca,69f0f3c5beb6279e947be107,"Structure Tone, LLC",69f10c28beb6279e947be4c9,"DFW1DC4 - QTS Irving DC4, LLC",Insurance Request,archived,non_compliant,Standard 10 - UMB 25M,true,,,,,,,false,,,,2026-09-14,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030cb,69f0f3c5beb6279e947be111,Whitting-Turner Contracting Company,69f10c28beb6279e947be4ce,"MAN1DC6 - QTS Manassas I DC6, LLC",Insurance Request,active,non_compliant,Standard 10 - UMB 25M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030cc,69f0f3c5beb6279e947be111,Whitting-Turner Contracting Company,69f10c28beb6279e947be4cf,"NAL1DC2 - QTS New Albany I DC2, LLC",Insurance Request,active,non_compliant,Standard 10 - UMB 25M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a7ca768f08d6e4a3cf1fc6d,69f0f3c5beb6279e947be107,"Structure Tone, LLC",69f10c28beb6279e947be4c9,"DFW1DC4 - QTS Irving DC4, LLC",Insurance Request,archived,non_compliant,Standard 12,true,,,,,,,false,,,,2026-09-14,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030e2,69f0f3c4beb6279e947be0da,"Clayco, Inc.",69f10c28beb6279e947be4e1,"PHX2DC4 - QTS Phoenix II DC4, LLC",Insurance Request,active,compliant,Standard 4,true,,,,,,,false,,,,2026-07-14,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030e9,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f10c28beb6279e947be4ec,"MAN1DC5 - QTS Manassas DC-5, LLC",Insurance Request,active,non_compliant,Standard 7,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a19a4b579aa4cf3109cc629,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f10c28beb6279e947be4da,"RIC2DC6 - QTS Richmond II DC6, LLC",Insurance Request,active,non_compliant,Standard 7,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030ec,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f10c28beb6279e947be4dc,"RIC3DC3 - QTS Richmond III DC3, LLC",Insurance Request,active,non_compliant,Standard 7,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030e6,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f10c28beb6279e947be4e3,"ASH1DC2 - QTS Investment Properties Ashburn, LLC",Insurance Request,active,non_compliant,Standard 7,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030e8,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f10c28beb6279e947be4d3,"ATL2DC2 - QTS Fayetteville I DC1-2, LLC",Insurance Request,active,non_compliant,Standard 7,true,,,,,,,false,,,,2026-09-09,2026-09-22
